"","Ailuropoda_melanoleuca","Bos_taurus","Colobus_angolensis_palliatus","Cebus_capucinus_imitator","Canis_familiaris","Capra_hircus","Callithrix_jacchus","Chinchilla_lanigera","Cavia_porcellus","Dasypus_novemcinctus","Equus_asinus_asinus","Equus_caballus","Felis_catus","Gorilla_gorilla","Heterocephalus_glaber","Homo_sapiens","Ictidomys_tridecemlineatus","Loxodonta_africana","Monodelphis_domestica","Macaca_fascicularis","Myotis_lucifugus","Macaca_mulatta","Microcebus_murinus","Mus_musculus","Microtus_ochrogaster","Mustela_putorius_furo","Meriones_unguiculatus","Nomascus_leucogenys","Neovison_vison","Ovis_aries","Oryctolagus_cuniculus","Octodon_degus","Otolemur_garnettii","Papio_anubis","Phascolarctos_cinereus","Peromyscus_maniculatus_bairdii","Pan_paniscus","Panthera_pardus","Pan_troglodytes","Rattus_norvegicus","Saimiri_boliviensis_boliviensis","Sus_scrofa","Tursiops_truncatus","Vombatus_ursinus","Vulpes_vulpes"
"PTHR16592",3,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3
"PTHR16650",3,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR16675",20,45,28,33,12,65,50,11,27,74,35,37,24,23,5,72,31,26,38,41,77,35,13,43,24,21,22,20,28,52,24,11,34,46,37,56,24,29,26,39,24,21,6,35,21
"PTHR16705",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4
"PTHR16716",2,6,5,2,6,5,3,1,1,2,2,1,2,3,2,2,1,2,1,4,3,1,3,2,1,1,4,3,4,2,4,13,3,4,1,3,2,2,3,2,1,1,2,3,4
"PTHR16717",1,3,2,1,3,2,2,2,2,3,2,2,2,1,1,3,2,2,1,1,1,1,1,2,2,0,2,1,2,1,2,3,2,1,1,2,2,2,2,2,1,1,1,0,3
"PTHR16736",3,3,2,3,2,3,3,3,3,3,3,1,2,2,3,3,3,3,1,3,3,2,1,3,3,1,2,2,3,2,2,1,3,3,2,3,3,3,3,3,2,2,1,2,3
"PTHR16742",2,2,2,0,2,2,2,1,0,2,2,3,2,2,0,2,0,2,1,2,2,2,2,3,2,1,0,2,2,2,1,0,2,2,0,1,2,2,2,2,1,2,2,0,2
"PTHR16757",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1
"PTHR16768",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR16797",1,2,0,2,1,2,1,0,1,1,1,2,2,1,1,3,1,1,1,0,1,2,2,1,1,0,1,1,1,1,0,1,2,3,1,1,0,1,3,1,0,2,1,1,0
"PTHR16821_SF0",1,1,3,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1
"PTHR16830",2,3,3,3,2,2,3,3,3,3,2,3,3,3,2,3,2,3,1,3,3,3,3,3,3,2,3,3,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,1,3
"PTHR16833",1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR16866",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2
"PTHR16875",1,1,2,3,1,1,4,2,2,1,0,1,1,3,3,1,1,0,1,1,2,2,2,1,1,0,1,1,1,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,2
"PTHR16915",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"PTHR16932_SF2",1,4,1,1,1,5,1,2,2,4,3,3,1,1,3,2,2,2,0,1,2,1,1,3,1,2,1,1,2,4,3,1,2,2,0,3,1,1,1,2,1,1,3,0,0
"PTHR16950_SF5",2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"PTHR16967",1,2,1,2,1,1,3,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,4,1,1,1,1,1
"PTHR16983",3,3,3,3,3,1,4,4,3,2,3,3,3,3,4,5,1,2,2,3,0,3,3,3,3,3,2,3,2,2,1,4,3,4,1,3,3,3,3,3,3,3,3,1,4
"PTHR17005",1,3,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,5,1,1,1,1,1,2,1,1,2,1,1,2,3
"PTHR17028",2,2,0,0,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,0,1,1,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,1,2,2,2
"PTHR17045",2,3,2,2,2,2,4,2,2,2,3,2,3,2,2,3,2,3,2,2,2,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,2,4,1
"PTHR17068",2,11,2,0,3,11,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,0,3,2,1,3,2,2,22,2,2,2,3,4,2,3,2,3,3,0,10,1,3,2
"PTHR17070",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,0,1,0,0
"PTHR17085",1,1,1,2,1,3,2,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,2,2,1,2,3,1,1,3,1,3,1,1,1,1,1,1
"PTHR17097",1,2,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,3,0,1,1,1,1,4,1,1,2,1,1,1,0,1,1,2
"PTHR17098_SF2",1,2,1,3,2,1,5,1,0,1,0,1,2,1,0,1,1,1,1,1,1,1,2,1,1,2,3,1,2,0,2,4,0,1,3,1,1,1,1,2,1,1,0,1,2
"PTHR17103",4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,5,4,3,4,4,4,4
"PTHR17130_SF18",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1
"PTHR17149",1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,0,2,1,2,2,2,0,1,1,2,2,1,2,1,3,1,1,1,2,2
"PTHR17250",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR17271_SF10",1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR17271_SF9",1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
"PTHR17408_SF4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"PTHR17453_SF0",1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,1,0,2,2,1,2,3,1,2,1,2,1,1,1,1,2,1,1,1,1
"PTHR17490",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR17502",2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,6,2,0,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"PTHR17537",2,2,0,0,2,2,2,2,2,2,2,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,3,2,2,2,1,1,1,2,1,1,2,2,2
"PTHR17550",1,1,2,3,1,1,1,3,2,2,1,1,3,2,1,1,1,1,1,3,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,3,2,1,1,1,1,1,1
"PTHR17583",1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR17601",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"PTHR17611",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"PTHR17615",3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3
"PTHR17616",2,2,3,3,2,2,2,2,2,3,2,2,2,3,4,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR17901_SF13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1
"PTHR17972",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"PTHR17985",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18034",2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,3,1,3,1,2,9,3,2,2,2,2,2,2,4,2,2,4,3,2,1,2,3,1,1,2,3,2
"PTHR18063",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2
"PTHR18820",2,2,1,1,2,2,1,1,1,2,1,1,2,1,0,1,1,2,1,1,2,1,0,1,1,1,1,1,1,3,4,1,1,1,1,1,0,2,1,1,1,2,1,2,2
"PTHR18839",1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,2,2,2,1,1,0
"PTHR18843",2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"PTHR18847",3,2,1,1,2,3,1,1,1,2,2,2,2,2,3,2,1,2,4,1,2,2,2,1,1,2,1,1,2,2,2,5,1,1,2,1,1,2,1,2,2,2,1,3,2
"PTHR18853",2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,0,2,2,2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR18860",7,10,16,12,16,15,11,9,10,19,7,7,9,17,13,8,10,6,10,13,8,9,11,7,11,9,9,12,7,10,7,20,10,14,11,12,14,9,20,8,13,7,7,11,13
"PTHR18861",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR18864",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"PTHR18870",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR18875",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PTHR18877",1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,1,1,1,2,1,2,1
"PTHR18878",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18884_SF2",1,1,1,1,1,1,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18884_SF30",1,1,3,4,1,1,3,2,1,2,1,1,1,1,4,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,5,1,3,1,1,1,1,2,1,3,1,1,2,1
"PTHR18884_SF50",1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,3,1
"PTHR18884_SF51",1,1,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,2,1,1,1,2,0,1
"PTHR18884_SF67",1,1,1,1,2,1,3,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3
"PTHR18896_SF7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"PTHR18901_SF10",1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,2,0,1,1,1,0,1,1,3,1,1,1,0,1,2,1,2,2,1,2,1,1,2,1,1,1
"PTHR18902",3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4
"PTHR18905",3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2
"PTHR18914",9,5,7,6,6,9,5,6,6,8,10,5,7,5,9,5,8,6,11,6,8,6,6,6,7,8,10,6,6,8,5,6,6,6,9,6,6,6,5,7,6,6,5,8,8
"PTHR18919",6,6,6,6,5,6,6,6,5,4,5,5,5,7,7,5,6,5,5,8,5,7,5,7,6,6,6,6,5,6,6,7,6,7,5,8,7,5,7,6,6,5,5,6,5
"PTHR18921_SF2",2,1,1,2,2,1,1,1,1,2,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,5,1,1,1
"PTHR18929_SF48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,2,1
"PTHR18929_SF58",1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"PTHR18929_SF67",1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1
"PTHR18929_SF72",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18932",2,2,2,2,2,1,1,2,2,3,1,2,1,2,2,2,2,3,2,2,2,2,2,2,1,2,4,2,2,2,2,1,2,2,2,3,2,1,3,2,2,2,2,2,3
"PTHR18934_SF83",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18935",3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PTHR18937_SF9",1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18945_SF195",2,2,1,1,1,2,1,1,0,3,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,0,1,1,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,2
"PTHR18945_SF198",2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"PTHR18945_SF215",1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18945_SF480",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1
"PTHR18945_SF498",2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
"PTHR18945_SF76",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18945_SF83",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"PTHR18947_SF31",2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,1,1,2,1,1,3,3
"PTHR18949",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,1,2,1,2,1,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,3,2,2,2,1,2,1
"PTHR18952_SF82",1,3,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"PTHR18952_SF90",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1
"PTHR18959_SF40",1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,4,1,1,1,1
"PTHR18959_SF44",1,2,1,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,1,3,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1
"PTHR18959_SF46",1,2,1,3,1,1,1,1,1,3,2,3,1,1,2,1,1,1,3,1,1,1,1,1,1,2,2,1,2,2,2,5,1,1,1,2,1,1,1,1,4,1,1,2,1
"PTHR18959_SF47",2,1,5,5,2,3,5,1,1,1,1,1,1,6,1,1,1,1,1,3,1,1,1,1,1,1,1,5,1,1,0,1,1,6,1,1,6,1,6,1,4,1,1,2,2
"PTHR18966_SF109",3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR18976",4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,3,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,7,4,4,3,4,2,4
"PTHR19134_SF150",2,2,5,2,2,2,1,1,1,1,2,2,2,5,1,1,1,1,2,4,1,1,2,1,1,2,1,5,2,2,1,1,1,4,2,1,5,2,6,1,4,2,2,2,3
"PTHR19134_SF194",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR19134_SF200",1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,3,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1
"PTHR19134_SF203",1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,3,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1
"PTHR19134_SF204",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"PTHR19134_SF207",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR19134_SF211",1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR19134_SF271",1,0,1,1,1,1,1,1,0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR19134_SF33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1
"PTHR19134_SF39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"PTHR19134_SF49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1
"PTHR19139_SF16",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1
"PTHR19143_SF165",2,1,2,0,1,1,1,1,1,2,3,2,0,1,1,1,1,2,1,2,3,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,0,1,2,0,1,2,0,1
"PTHR19143_SF190",1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,8,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,3,2,1,1,2,5,0,1,1,1,1,2
"PTHR19211_SF14",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"PTHR19211_SF15",1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,3,1,1,1,1
"PTHR19212",2,2,3,3,2,2,3,2,2,2,2,2,2,3,4,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2,4,2,3,2,2,3,2,3,2,2,2,2,2,2
"PTHR19229_SF11",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,0,1,1,1,1,1,0,1,0,0,2
"PTHR19229_SF115",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,3,1,1,2,0,1,2,1,2,0,1,2,1,1,0,1,1,1,1,2,1,1,0,0,1
"PTHR19229_SF13",1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,1,1,2,1,1,1,0,0,3
"PTHR19229_SF34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"PTHR19229_SF98",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1
"PTHR19232",2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"PTHR19237",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
"PTHR19248",1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,3,1,4,1,1,1,1,1,1
"PTHR19256",11,7,3,2,7,6,4,4,1,17,11,23,5,5,1,11,0,3,1,3,4,6,2,10,0,11,3,5,4,9,8,1,5,4,1,2,6,4,11,1,1,2,0,2,9
"PTHR19268",1,3,2,3,3,3,3,2,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,2
"PTHR19269",4,7,7,8,8,9,8,5,4,9,5,5,5,10,10,4,8,4,5,14,6,7,8,5,4,4,4,12,6,4,5,14,8,16,5,4,10,5,12,4,8,5,4,12,7
"PTHR19277",6,7,6,6,5,7,7,6,7,5,6,7,6,6,7,6,7,7,11,6,3,6,6,8,7,5,7,6,5,6,6,6,8,6,10,7,5,5,6,7,7,6,4,9,5
"PTHR19282_SF163",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1
"PTHR19282_SF169",1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3
"PTHR19282_SF212",1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR19282_SF48",1,2,1,1,2,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2
"PTHR19297_SF78",2,1,1,1,1,3,3,1,1,1,3,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2
"PTHR19300_SF1",1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
